Body ID,articleBody
0,It is native to parts of South and Southeast Asia and is believed to have originated in the southwestern rain forests of the Western Ghats in the Indian subcontinent .
1,"Dangerous Liaisons is a 1988 American historical drama film based upon Christopher Hampton 's play Les liaisons dangereuses , which in turn was a theatrical adaptation of the 18th-century French novel Les Liaisons dangereuses by Pierre Choderlos de Laclos ."
2,"Jacqueline Marie `` Jackie '' Evancho  (  [ iːˈvæŋkoʊ ]  ; born April 9 , 2000 )  is an American classical crossover singer who gained wide recognition at an early age and , since 2009 , has issued an EP and seven albums , including a platinum and gold album and three Billboard 200 top 10 debuts ."
3,"Joseph Roland `` Joe '' Barbera  (  [ bɑrˈbɛrə ]  or  [ ˈbɑrbərə ]  ;  [ barˈbɛːra ]  ; March 24 , 1911 -- December 18 , 2006 )  was an American animator , director , producer , storyboard artist , and cartoon artist , whose film and television cartoon characters entertained millions of fans worldwide for much of the 20th century ."
4,"In 1998 , Kelly won three Grammy Awards for `` I Believe I Can Fly '' ."
5,is a Japanese manga artist from Miyagi .
6,"Laura Leggett Linney  ( born February 5 , 1964 )  is an American actress ."
7,"Katie Price  ( born Katrina Amy Alexandra Alexis Infield , 22 May 1978 )  , previously known by the pseudonym Jordan , is an English television personality and glamour model ."
8,"Cindy Lou Hensley McCain  ( born May 20 , 1954 )  is an American businesswoman , philanthropist , and humanitarian , and the wife of long-time United States Senator and 2008 Republican presidential nominee John McCain of Arizona ."
9,Turner has also starred in the television film The Thirteenth Tale  ( 2013 )  and she made her feature film debut in Another Me  ( 2013 )  .
10,"The House at Pooh Corner  ( 1928 )  is the second volume of stories about Winnie-the-Pooh , written by A. A. Milne and illustrated by E. H. Shepard ."
11,"It is the first instalment in the Fifty Shades trilogy that traces the deepening relationship between a college graduate , Anastasia Steele , and a young business magnate , Christian Grey ."
12,"Jesus  (  [ ˈdʒiːzəs ]  ; c. 4 BC -- c. AD 30/33 )  , also referred to as Jesus of Nazareth or Jesus Christ , was a Jewish preacher and religious leader who became the central figure of Christianity ."
13,"NASA also awarded SpaceX a further development contract in 2011 to develop and demonstrate a human-rated Dragon , which would be used to transport astronauts to the ISS and return them safely to Earth ."
14,"Empress Matilda  ( c. 7 February 110210 September 1167 )  , also known as the Empress Maude , was the claimant to the English throne during the civil war known as the Anarchy ."
15,"Due to its location in the European Plain , Berlin is influenced by a temperate seasonal climate ."
16,Karl-Heinz Urban  ( born 7 June 1972 )  is a New Zealand actor .
17,"The Illusionist is a 2006 American romantic mystery film written and directed by Neil Burger and starring Edward Norton , Paul Giamatti , and Jessica Biel ."
18,The film involves a young man who falls in love with a mysterious woman who is secretly a mermaid .
19,"The album has sold upwards of 1,200,000 copies in the USA , and has been certified Platinum by the RIAA ."
20,"Michael Richard Pence  ( born June 7 , 1959 )  is an American politician , lawyer , and the 48th and current Vice President of the United States ."
21,"After leaving Southampton on 10 April 1912 , Titanic called at Cherbourg in France and Queenstown  ( now Cobh )  in Ireland before heading west to New York ."
22,"Stanley Tucci  (  [ ˈtuːtʃi ]   [ ˈtuttʃi ]  ; born November 11 , 1960 )  is an American character actor , writer , producer and film director ."
23,"He was Prime Minister from 1999 to 2000 , President from 2000 to 2008 , and again Prime Minister from 2008 to 2012 ."
24,Amazon Web Services  ( AWS )  describes both a technology and a company .
25,"He has sold more than 20 million records worldwide and is known for his international hits , including `` Kiss from a Rose '' , which appeared on the soundtrack to the 1995 film Batman Forever ."
26,"Some of his notable credits include Breaking Away , The Right Stuff , Wyatt Earp , The Rookie , The Day After Tomorrow , Traffic , Vantage Point , Footloose , Frequency , The Parent Trap , Yours , Mine & Ours and Soul Surfer ."
27,"The film premiered on September 11 , 2016 , at the Toronto International Film Festival and was released in the United States on April 21 , 2017 , by Open Road Films ."
28,"Adolf Hitler  (  [ ˈadɔlf ˈhɪtlɐ ]  ; 20 April 1889 -- 30 April 1945 )  was a German politician who was the leader of the Nazi Party  ( Nationalsozialistische Deutsche Arbeiterpartei ; NSDAP )  , Chancellor of Germany from 1933 to 1945 , and Führer  ( `` Leader '' )  of Nazi Germany from 1934 to 1945 ."
29,"Often considered the best player in the world and regarded by many as the greatest of all time , Messi is the only player in history to win five FIFA Ballon d'Or awards , four of which he won consecutively , and the first to win three European Golden Shoes ."
30,"Dolores Janney Rivera Saavedra  ( July 2 , 1969 -- December 9 , 2012 )  , better known as Jenni Rivera , was an American singer , songwriter , actress , television producer , spokesperson , philanthropist and entrepreneur known for her work within the Banda and ranchera music genres ."
31,"The origins of the Internet date back to research commissioned by the United States federal government in the 1960s to build robust , fault-tolerant communication via computer networks ."
32,"The population of the city was 343,829 as of the 2010 U.S. Census ."
33,"Jules Sébastien César Dumont d'Urville  ( 23 May 1790 -- 8 May 1842 )  was a French explorer , naval officer and rear admiral , who explored the south and western Pacific , Australia , New Zealand and Antarctica ."
34,"Christina María Aguilera  ( born December 18 , 1980 )  is an American singer , songwriter , actress and television personality ."
35,"He lived in Aspen , Colorado for much of his life and was known for his love of Colorado which he sang about numerous times ."
36,"He was at different times a constable , city policeman , county sheriff , Deputy U.S. Marshal , teamster , buffalo hunter , bouncer , saloon-keeper , gambler , brothel keeper , miner , and boxing referee ."
37,"Nicholas Jerry Jonas  ( born September 16 , 1992 )  is an American singer , songwriter , producer , and actor ."
38,"Rebecca Louisa Ferguson Sundström  ( born 19 October 1983 )  , known professionally as Rebecca Ferguson , is a Swedish actress ."
39,Michael Schumacher  (  [ ˈmɪçaʔɛl ˈʃuːmaxɐ ]  ; born 3 January 1969 )  is a German retired racing driver .
40,"That '70s Show is an American television period sitcom that originally aired on Fox from August 23 , 1998 , to May 18 , 2006 ."
41,"Countess Rose Elizabeth Fitzgerald Kennedy  ( July 22 , 1890 -- January 22 , 1995 )  was an American philanthropist , centenarian and socialite ."
42,Jun has also starred in television series My Love from the Star  ( 2013-2014 )  and The Legend of the Blue Sea  ( 2016-2017 )  .
43,"Billy Bob Thornton  ( born August 4 , 1955 )  is an American actor , filmmaker , singer , songwriter , and musician ."
44,"Cordozar Calvin Broadus , Jr.  ( born October 20 , 1971 )  , known professionally as Snoop Dogg  ( sometimes shortened to Snoop and formerly called Snoop Doggy Dogg and Snoop Lion )  , is an American rapper and actor from Long Beach , California ."
45,"Maynard James Keenan  ( born James Herbert Keenan ; April 17 , 1964 )  , often referred to by his initials MJK , is an American musician , record producer , winemaker , and actor , best known as the vocalist for Grammy Award-winning progressive metal band Tool ."
46,"After being dropped by her record label , Nash self-released her third studio album , Girl Talk , on 4 March 2013 ."
47,"Abigail Kathleen Breslin  ( born April 14 , 1996 )  is an American actress and singer ."
48,Louis-Dreyfus holds several records for most Primetime Emmy Award wins and nominations .
49,"Nicole Mary Kidman , AC  ( born June 20 , 1967 )  is an Australian actress and film producer ."
50,Jane Eyre is a 2011 British romantic drama film directed by Cary Fukunaga and starring Mia Wasikowska and Michael Fassbender .
51,"Tramadol , sold under the brandname Ultram among others , is an opioid pain medication used to treat moderate to moderately severe pain ."
52,"Interstellar is a 2014 British-American epic science fiction film directed , co-written , and co-produced by Christopher Nolan ."
53,"A fictionalized account of the sinking of the RMS Titanic , it stars Leonardo DiCaprio and Kate Winslet as members of different social classes who fall in love aboard the ship during its ill-fated maiden voyage ."
54,Thenmerku Paruvakatru  ( Southwest Monsoon )  is a 2010 Tamil drama film written and directed by Seenu Ramasamy and produced by Shibu Issac .
55,"Leslie Howard  ( born Leslie Howard Steiner , 3 April 18931 June 1943 )  was an English stage and film actor , director and producer ."
56,"He went on to star in several hit films , including An Officer and a Gentleman , Pretty Woman , Primal Fear , Runaway Bride , Arbitrage and Chicago , for which he won a Golden Globe Award for Best Actor and a Screen Actors Guild Award for part of the Best Cast ."
57,"He is currently signed to WWE , performing as the on-screen general manager for the Raw brand ."
58,"The castle , which has been a Grade I listed building since 1951 , underwent a major restoration in the early 20th century ."
59,"Muhammad Ali  (  [ ɑːˈliː ]  born Cassius Marcellus Clay Jr. ; January 17 , 1942 -- June 3 , 2016 )  was an American professional boxer and activist ."
60,"The film was produced by Big Beach and Raindog Films , and distributed by Focus Features ."
61,Robert Browning  ( 7 May 1812 -- 12 December 1889 )  was an English poet and playwright whose mastery of the dramatic monologue made him one of the foremost Victorian poets .
62,"She married John McCain in 1980 and the couple moved to Arizona in 1981 , where her husband would be elected to the United States Congress the following year and has been in office since then ."
63,"Born and raised in Barranquilla , she began performing in school , demonstrating Latin American , Arabic , and rock and roll influences and belly dancing abilities ."
64,"`` All the Lovers '' is a song recorded by Australian recording artist Kylie Minogue for her eleventh studio album , Aphrodite  ( 2010 )  ."
65,"A central venous catheter  ( CVC )  , also known as a central line , central venous line , or central venous access catheter , is a catheter placed into a large vein ."
66,"Michelle LaVaughn Robinson Obama  ( born January 17 , 1964 )  is an American lawyer and writer who was First Lady of the United States from 2009 to 2017 ."
67,It is the second film in the Marvel Cinematic Universe  ( MCU )  .
68,"He was Clinton 's running mate in their successful campaign in 1992 , and was re-elected in 1996 ."
