The Black Dahlia was only written by Hillary Clinton.,0,unrelated
Dennis Hopper did not act in an American television drama series.,1,disagree
Bal Gangadhar Tilak was a judge.,2,disagree
Luke Evans took a five-year acting hiatus from 2010 to 2015.,3,disagree
Colin Quinn's middle name is Edward.,4,agree
Spain shares a border with Morocco.,5,agree
Fernando Alonso was born in Cordoba.,6,disagree
Manchester City F.C. was purchased in the late 2000s.,7,unrelated
Quinoa is not grown as a grain crop.,8,unrelated
Evan Rachel Wood avoided to appear in television series her whole life.,9,unrelated
Ready Player One was passed over for an award for libertarian science fiction novels.,10,unrelated
Pluto has zero moons.,11,disagree
Susan Sarandon debuted in a movie by Gore Vidal.,12,disagree
The English Civil War was a series of armed conflicts and political machinations.,13,agree
Emily Blunt never starred in a period drama film.,14,disagree
Nicole Kidman performs in films.,15,agree
Leicester City F.C. has been FA Cup finalists four times.,16,agree
The Guest stars an actor.,17,agree
Angela Lansbury was born to an lower-middle-class family.,18,unrelated
Juana la virgen is a telenovela written by George R. R. Martin.,19,disagree
Seal was born in 1963.,20,agree
Stand-up comedy is only a drama style.,21,disagree
Mel Brooks has two films ranked in the American Film Institute's list.,22,disagree
Abraham Lincoln was a truck.,23,disagree
De Profundis is a novel.,24,disagree
Futurama is a science fiction animated series on Cartoon Network.,25,unrelated
Bruce Willis is an actor.,26,agree
Paris is in the Americas.,27,disagree
Helen Gardner received a master's degree in 1918.,28,agree
David Koepp is only a producer.,29,disagree
The Uruguay national football team lost the 1980 Mundialito.,30,disagree
Hilda Ellis Davidson wrote exclusively about Vienna.,31,disagree
The Girl on the Train was written by Universal Pictures.,32,unrelated
Love & Mercy (film) stars American actor Paul Dano.,33,agree
William McKinley passed away in 1901.,34,agree
Abraham Lincoln promoted rapid modernization of the economy.,35,agree
The Czech Republic's capital has a population of 1.2 million.,36,disagree
Cheaper by the Dozen starred Steve Martin.,37,agree
The American television show called Sonny with a Chance was on Disney Channel.,38,unrelated
The United States was not in a state of geopolitical tension with the Soviet Union after World War II.,39,agree
Nazi Germany suffered military defeats.,40,unrelated
Michelle Obama never gave a speech at a Democratic National Convention.,41,disagree
Kurt Angle is a winner of the WWE Championship.,42,agree
Philip V of Spain was the third member of the House of Bourbon.,43,unrelated
H. H. Holmes was the owner of a building located west of Chicago.,44,agree
The Comeback premiered on Broadway.,45,unrelated
Miley Cyrus's fourth album was Heroine.,46,disagree
Richard Ramirez prevented a crime spree.,47,disagree
Splash was written by two people.,48,agree
David Beckham started playing international football when we was 30.,49,disagree
Lonesome Dove was the winner of two Golden Globe Awards.,50,agree
Ashley Judd is involved in national humanitarian efforts.,51,unrelated
Contained in the Bible are narratives.,52,unrelated
The Great British Sewing Bee is a show.,53,agree
Saved was a play with zero cast members.,54,disagree
Alexandra Burke is British.,55,unrelated
Subhas Chandra Bose was never a hero in India.,56,disagree
Las Vegas is the 28th-most populated city in the Caribbean.,57,unrelated
Led Zeppelin II was only recorded by the Beatles.,58,unrelated
Robert Redford was in the main cast of Perry Mason.,59,unrelated
Beautiful People had five series.,60,unrelated
Istanbul's population has increased by 400 percent since the 1950s.,61,unrelated
Dhool is an action film.,62,agree
"Beverly Hills, 90210 addressed numerous topical issues such as date rape, gay rights, animal rights, alcoholism, drug abuse, domestic violence, sex, antisemitism, racism, teenage suicide, teenage pregnancy, and AIDS.",63,agree
T-Pain is the founder of a record label imprint established in 2015.,64,disagree
Psychology seeks to understand individuals and groups within society.,65,agree
Asset management may apply to intangible assets such as intellectual property.,66,unrelated
Vanilla Sky stars only actors and actresses with no middle names.,67,unrelated
Cricket is unknown in Australasia.,68,disagree
Thirteen Reasons Why is a young adult novel.,69,unrelated
Kalpana Raghavendar is Indian.,70,agree
The Carmichael Show has seasons.,71,unrelated
Paradise is by Lamborghini.,72,disagree
Imagine Dragons is not a band.,73,disagree
Big Bang won 3 awards in Japan.,74,agree
The Comedian refused to work with Danny DeVito.,75,disagree
Sons of Anarchy premiered online.,76,unrelated
Nick Jonas is an American recording artist who released seven albums in 2008 alone.,77,disagree
Tanya Roberts was born on the 10th month of the calendar year.,78,agree
Philadelphia is in Georgia.,79,disagree
Fences failed to cast Mykelti Williamson.,80,unrelated
Joan Collins was in Sunburn released in 1979.,81,agree
C. S. Forester wrote tales of land-based warfare.,82,unrelated
Las Vegas's population growth has increased revenue.,83,agree
Sarcoidosis was first described by the English dog Jonathan Hutchinson.,84,disagree
Man of Steel was filmed only in Australia.,85,disagree
Logic was born in January 1990.,86,unrelated
Urvashi Rautela is only a painter.,87,disagree
Lucas starred actresses exclusively born on in July.,88,disagree
LeBron James plays for nobody.,89,unrelated
Hisense failed to acquire the right to sell televisions in the Americas in 2015.,90,disagree
Dominick Dunne was involved in the television series Panic in Needle Park.,91,disagree
The United States Congress possesses 535 voting people.,92,unrelated
Louis C.K. has worked on Louie without any breaks.,93,disagree
World War II included a military campaign in North Africa.,94,unrelated
Whiskey Tango Foxtrot is a comedy film.,95,agree
Kick-Ass was released after 2000.,96,unrelated
Journey was named the fifth-best American rock band in a 2005 USA Today opinion poll.,97,agree
XXx: Return of Xander Cage is a British film.,98,disagree
R. Madhavan produced a film.,99,agree
John Cusack has not been in an American romantic comedy-drama film.,100,disagree
Morena Baccarin was incapable of getting nominated for an Emmy.,101,unrelated
The Carolina Panthers is based in North Carolina.,102,agree
Rachel McAdams was in the drama Perfect Pie.,103,agree
Franklin D. Roosevelt implemented a war strategy.,104,agree
A total of $539 million was grossed by the Underworld film series.,105,unrelated
Yelp existed in 1999.,106,disagree
Rachel McAdams completed her schooling at York University.,107,agree
Wladimir Klitschko has fought in 29 heavyweight title fights.,108,unrelated
San Francisco is a town.,109,disagree
Samsung Life Insurance is a company.,110,agree
Wyatt Earp's first wife saw typhoid fever.,111,unrelated
The 1983-84 NBA season was unique and unlike any other ever.,112,unrelated
Man of Steel was filmed only in Australia.,113,unrelated
"Walt Whitman was born in Kings County, New York.",114,unrelated
"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.",115,unrelated
Gillian Anderson is an American-British actress.,116,agree
Amazon Web Services featured services for apps.,117,agree
Naomi Watts is an English film producer.,118,agree
"The Eagles did not put out the song, ""Lyin' Eyes.""",119,disagree
Return to Paradise is a 1998 poem.,120,disagree
The Great Gatsby does not explore themes of decadence.,121,disagree
"Welcome Back (film) has an Indian actor, writer, and filmmaker.",122,unrelated
The Super Nintendo Entertainment System is a console.,123,agree
Instagram is a tomb.,124,disagree
Napoleon never commanded a military campaign.,125,disagree
Top Gun's screenplay was written by nobody.,126,unrelated
Randy Orton was born in June of 1980.,127,disagree
Barack Obama won against John McCain.,128,disagree
Billy Joel is a singer-songwriter and pianist.,129,agree
More than 2000 runs have been scored by Alex Rodriguez.,130,agree
Brittany Murphy was born in Texas.,131,disagree
Into the Woods received zero nomination.,132,unrelated
Role Models stars Jane Lynch.,133,agree
Will Ferrell worked on The Producers.,134,agree
Charlie Chaplin's childhood was in London and he became a film director.,135,unrelated
Arrested Development follows the fictitious Bluth family.,136,agree
Steven Tyler is the manager of Aerosmith.,137,disagree
Kristen Stewart played Alice Cullen in the Twilight series.,138,disagree
Death in Paradise has received ratings.,139,agree
London's location is the United Kingdom.,140,unrelated
Extracorporeal shockwave therapy (ESWT) isn't used in physical therapy.,141,disagree
Apocalypse Now was produced by and co-written by Francis Ford Coppola.,142,agree
Lymelife is a 2009 film.,143,disagree
Jack Paar was a German.,144,disagree
Jackfruit is from outside of parts of South Asia.,145,unrelated
50 Cent released Animal Ambition in May of 2014.,146,disagree
Laurence Olivier starred in the 1948 adaptation of King Lear.,147,disagree
Jean-Martin Charcot taught anatomical pathology.,148,agree
An actor won an Academy Award for Crash.,149,agree
John Lennon moved to a place.,150,agree
Game of Thrones (season 3) takes place in Westeros.,151,unrelated
Jensen Ackles is not an American.,152,unrelated
Valerian and the City of a Thousand Planets refused to cast Rihanna.,153,unrelated
Paleogene starts from the end of the Cretaceous Period million years ago (Mya).,154,agree
Gunday is has failed to ever be classified as action.,155,disagree
Vladimir Putin returned to being Prime Minister in 2008.,156,unrelated
Zendaya is a professional dancer.,157,agree
Friendship has been studied only in sociology.,158,disagree
United Kingdom is a car.,159,disagree
Wild has an actor.,160,agree
Joe Manganiello has barely appeared in Magic Mike.,161,unrelated
The Place Beyond the Pines is a 2012 game.,162,unrelated
Ulysses S. Grant was born in 1900.,163,disagree
Raggedy Ann is a person in a work.,164,disagree
Neil Patrick Harris was on How I Met Your Mother as Barney Stinson.,165,unrelated
"Lithuania's capital, and largest city, is Vilnius.",166,agree
Asteroid Day aims to only raise awareness about squash.,167,unrelated
John Denver sang about Colorado numerous times.,168,unrelated
One kind of Mediterranean cuisine dish is roast lamb.,169,unrelated
Zambia is bordered by the Democratic Republic of the Congo.,170,unrelated
Blink-182 never released the album California.,171,disagree
The New Adventures of Old Christine features only actors under 30.,172,unrelated
Wentworth is Japanese.,173,disagree
Betty Buckley played gym teacher Mrs. Robinson.,174,unrelated
Citalopram is a city.,175,unrelated
George Martin worked in film.,176,agree
David Thewlis has had only one performance.,177,unrelated
Akbar was a patron of art.,178,agree
Believe was created by America.,179,disagree
Keeping Up with the Joneses was released in 2017.,180,unrelated
Uzbekistan is a member of the hillside.,181,unrelated
Karl Urban played Eomer in Peter Jackson's The Lord of the Rings trilogy.,182,unrelated
Ghostbusters only premiered in San Diego.,183,disagree
Marshall McLuhan was heavily involved in media discourse.,184,unrelated
The Golden Girls is not the 54th Best Series of All Time according to TV Guide.,185,disagree
Buddhism is the fifth-smallest religion in the world.,186,disagree
Kurt Angle wrestles professionally.,187,agree
R. Madhavan was in the cast of Guru.,188,agree
Hypothyroidism can prevent weight gain.,189,disagree
The Golden Girls passed over Beatrice Arthur for a role in the show.,190,disagree
Cheyenne Jackson had a role on a television series.,191,unrelated
Naturi Naughton is not a singer-songwriter.,192,disagree
Joaquin Phoenix has a career in acting.,193,agree
John Lennon was a writer.,194,agree
American Horror Story airs on Syfy.,195,unrelated
Billy Joel has not received the Kennedy Center Honors.,196,unrelated
Ron Swanson married and divorced two women named Tammy.,197,unrelated
Canada was claimed by the British.,198,unrelated
James Blake (musician) released his third film The Colour in Anything in 2016.,199,agree
Welcome Back (film) features an actor.,200,unrelated
Drax the Destroyer is real.,201,unrelated
Karl Malone played the point guard position exclusively.,202,disagree
Gwen Stefani has not sold more than 30 million albums worldwide.,203,disagree
Haitian Creole is a linguistic structure spoken by 9.6 to 12 million humans.,204,unrelated
Charles Marie de La Condamine was a French mathematician.,205,agree
Robert J. O'Neill is a former United States Navy sailor.,206,agree
Elton John was inducted in the Rock and Roll Hall of Fame.,207,unrelated
Brazil is the smallest country in South America.,208,disagree
Jean-Claude Van Damme is a film director.,209,agree
IO Theater is a training center.,210,unrelated
Dwayne Johnson works for WWE.,211,unrelated
Boston attracts millions of tourists.,212,unrelated
Nicki Minaj made an album.,213,agree
"O. J. Simpson was born July 9th, 1947.",214,unrelated
Robert Redford was passed up for a role on The Untouchables.,215,unrelated
Cupid (2009 TV series) is a comedy-drama.,216,agree
The Netherlands has a city with a name.,217,agree
Queen Victoria's mother was Princess Victoria of Saxe-Coburg-Saalfeld.,218,agree
David Bowie received gold certifications in the United States.,219,unrelated
